global_step,epoch,step_in_epoch,loss
1,1,1,4.158873341076594
2,1,2,4.158874176048989
3,1,3,4.158883896028499
4,1,4,4.158886117004188
5,1,5,4.158874325722778
6,1,6,4.158865696434626
7,1,7,4.158868783413409
8,1,8,4.158875133690945
9,1,9,4.158881655936618
10,1,10,4.1588692915263055
11,1,11,4.158879738151892
12,1,12,4.158871768807494
13,1,13,4.158881840452926
14,1,14,4.158882916390033
15,1,15,4.158877327505081
16,1,16,4.15888041757788
17,1,17,4.158880745294692
18,1,18,4.1588786010828755
19,1,19,4.158880472985448
20,1,20,4.158873282263606
21,1,21,4.158878216973406
22,1,22,4.158869058386009
23,1,23,4.158873478826239
24,1,24,4.15886040636955
25,1,25,4.158886865915644
26,1,26,4.1588745887831475
27,1,27,4.158874988764799
28,1,28,4.158865838501321
29,1,29,4.158869373753889
30,1,30,4.158866636713971
31,1,31,4.158877068122202
32,1,32,4.158864628532987
33,1,33,4.158881078061439
34,1,34,4.1588592843168
35,1,35,4.158868191122158
36,1,36,4.158873141215215
37,1,37,4.158863611128797
38,1,38,4.158874222870299
39,1,39,4.158869588214291
40,1,40,4.158859954545912
41,1,41,4.15886148314854
42,1,42,4.15887298490993
43,1,43,4.1588591567020785
44,1,44,4.158872392660102
45,1,45,4.158861452765402
46,1,46,4.158858729193679
47,1,47,4.158879095143334
48,1,48,4.158857675573393
49,1,49,4.1588603219436795
50,1,50,4.1588614793829075
51,1,51,4.158864439246956
52,1,52,4.158865553646518
53,1,53,4.158856413037807
54,1,54,4.158863897890441
55,1,55,4.158851504010435
56,1,56,4.158854422369899
57,1,57,4.1588485748447725
58,1,58,4.158846635227087
59,1,59,4.158859185085037
60,1,60,4.158847912176952
61,1,61,4.1588493806685
62,1,62,4.158858553501506
63,1,63,4.158862311705908
64,1,64,4.1588496908116515
65,1,65,4.158857111272141
66,1,66,4.158852748243801
67,1,67,4.158852972357157
68,1,68,4.158854111530065
69,1,69,4.158847291396851
70,1,70,4.158856925240931
71,1,71,4.1588574671214715
72,1,72,4.158860948148025
73,1,73,4.158856584655499
74,1,74,4.158848266875774
75,1,75,4.1588454360616955
76,1,76,4.158842652324974
77,1,77,4.158837395083832
78,1,78,4.158858393776776
79,1,79,4.158847143185069
80,1,80,4.158853746611754
81,1,81,4.158854027728962
82,1,82,4.158850419919096
83,1,83,4.158840458708804
84,1,84,4.158831450439732
85,1,85,4.158833269741099
86,1,86,4.1588349511153275
87,1,87,4.158856792145755
88,1,88,4.158844560585274
89,1,89,4.158844351490873
90,1,90,4.158829577779656
91,1,91,4.158829861522557
92,1,92,4.158850499372103
93,1,93,4.158831248339627
94,1,94,4.1588604458584815
95,1,95,4.158844786978395
96,1,96,4.158844958793892
97,1,97,4.158842331298362
98,1,98,4.1588502023318625
99,1,99,4.158831631908665
100,1,100,4.158846365743393
101,1,101,4.158832126776043
102,1,102,4.158833105808893
103,1,103,4.158829864065388
104,1,104,4.158853507368281
105,1,105,4.158840305693177
106,1,106,4.158844479856773
107,1,107,4.15882952594416
108,1,108,4.158832044607698
109,1,109,4.158836086890843
110,1,110,4.158821983559417
111,1,111,4.158833338285455
112,1,112,4.158845327598327
113,1,113,4.158840378460654
114,1,114,4.158815346565929
115,1,115,4.158818651298681
116,1,116,4.15885196138672
117,1,117,4.158844533046067
118,1,118,4.158838310325129
119,1,119,4.1588328515487545
120,1,120,4.158819088758005
121,1,121,4.158832619815152
122,1,122,4.158829913063907
123,1,123,4.1588298594187565
124,1,124,4.158822243270601
125,1,125,4.158822682347849
126,1,126,4.158830007622393
127,1,127,4.158813055637488
128,1,128,4.158824126093505
129,1,129,4.158830504980138
130,1,130,4.158836726749353
131,1,131,4.158830447842796
132,1,132,4.15882730113079
133,1,133,4.158829605837095
134,1,134,4.1588232118659025
135,1,135,4.158816747063064
136,1,136,4.158808363747426
137,1,137,4.158821664729915
138,1,138,4.1588302966500965
139,1,139,4.1588160258312925
140,1,140,4.1588117006662415
141,1,141,4.15883478312871
142,1,142,4.158814100590664
143,1,143,4.158819897705565
144,1,144,4.1588286788052775
145,1,145,4.15883078992756
146,1,146,4.158810608171676
147,1,147,4.158826364282186
148,1,148,4.158826786061921
149,1,149,4.158806795804784
150,1,150,4.1588089734974245
151,1,151,4.158813884564523
152,1,152,4.158813012523833
153,1,153,4.158805483020594
154,1,154,4.1588234668716755
155,1,155,4.158806755966631
156,1,156,4.158809788738889
157,1,157,4.158805563058394
158,1,158,4.1588071715866075
159,1,159,4.158790473287798
160,1,160,4.158803123622583
161,1,161,4.158827850963283
162,1,162,4.158784707154107
163,1,163,4.158806595229264
164,1,164,4.158803339705884
165,1,165,4.158800020963314
166,1,166,4.158778727505013
167,1,167,4.158802523689811
168,1,168,4.158820016791401
169,1,169,4.158802605401391
170,1,170,4.158812155816492
171,1,171,4.158781345847651
172,1,172,4.158780441684572
173,1,173,4.158788938703829
174,1,174,4.158822508486472
175,1,175,4.158811547303696
176,1,176,4.158795613859496
177,1,177,4.158796343955061
178,1,178,4.15882238775692
179,1,179,4.1587965999252585
180,1,180,4.158792119021355
181,1,181,4.158796813693501
182,1,182,4.158789867108052
183,1,183,4.158770160041319
184,1,184,4.158782033687545
185,1,185,4.158802785686251
186,1,186,4.158790718273247
187,1,187,4.158758501889773
188,1,188,4.158798098510043
189,1,189,4.158788246556517
190,1,190,4.158792659479338
191,1,191,4.158779056404818
192,1,192,4.158805362918662
193,1,193,4.1587478312739385
194,1,194,4.158780246694757
195,1,195,4.158764300484217
196,1,196,4.158789532562998
197,1,197,4.15877427478487
198,1,198,4.158804202916974
199,1,199,4.158793279143767
200,1,200,4.1587991806648565
201,1,201,4.158801227127059
202,1,202,4.158755171620614
203,1,203,4.158770977908429
204,1,204,4.158771120759405
205,1,205,4.158791817610419
206,1,206,4.158789231112152
207,1,207,4.1587710018942605
208,1,208,4.158768333707254
209,1,209,4.158763614756518
210,1,210,4.158780768751964
211,1,211,4.158760640095682
212,1,212,4.158757875975784
213,1,213,4.1588058285452405
214,1,214,4.158794417158895
215,1,215,4.158764808791146
216,1,216,4.158755818241291
217,1,217,4.158770766309164
218,1,218,4.158784582674355
219,1,219,4.158775989880928
220,1,220,4.158805339979927
221,1,221,4.158787883536376
222,1,222,4.158769646127727
223,1,223,4.158780653261655
224,1,224,4.158783046190525
225,1,225,4.1587723299164905
226,1,226,4.158801960808559
